Input Size	Execution Time (Milliseconds)
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
10	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
100	0
1000	0.004
1000	0.002
1000	0.002
1000	0.002
1000	0.002
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
1000	0.001
10000	0.028
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.02
10000	0.02
10000	0.022
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.02
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.02
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.02
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.02
10000	0.021
10000	0.021
10000	0.022
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.02
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.021
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.02
10000	0.021
10000	0.02
10000	0.02
10000	0.02
10000	0.021
10000	0.021
10000	0.02
10000	0.02
10000	0.021
10000	0.02
10000	0.02
10000	0.02
10000	0.021
10000	0.02
10000	0.02
10000	0.021
10000	0.02
10000	0.02
10000	0.02
10000	0.021
10000	0.02
10000	0.02
10000	0.021
10000	0.02
10000	0.02
10000	0.021
10000	0.021
10000	0.021
100000	1.245
100000	1.204
100000	1.213
100000	1.206
100000	1.222
100000	1.206
100000	1.216
100000	1.209
100000	1.203
100000	1.202
100000	1.203
100000	1.216
100000	1.203
100000	1.206
100000	1.211
100000	1.206
100000	1.207
100000	1.204
100000	1.225
100000	1.21
100000	1.209
100000	1.214
100000	1.203
100000	1.211
100000	1.206
100000	1.214
100000	1.224
100000	1.205
100000	1.208
100000	1.206
100000	1.214
100000	1.206
100000	1.206
100000	1.21
100000	1.21
100000	1.21
100000	1.205
100000	1.205
100000	1.207
100000	1.21
100000	1.211
100000	1.206
100000	1.203
100000	1.206
100000	1.207
100000	1.208
100000	1.21
100000	1.214
100000	1.207
100000	1.203
100000	1.204
100000	1.203
100000	1.226
100000	1.21
100000	1.206
100000	1.209
100000	1.21
100000	1.216
100000	1.222
100000	1.208
100000	1.203
100000	1.208
100000	1.207
100000	1.204
100000	1.203
100000	1.211
100000	1.228
100000	1.208
100000	1.204
100000	1.205
100000	1.207
100000	1.209
100000	1.218
100000	1.21
100000	1.208
100000	1.208
100000	1.209
100000	1.206
100000	1.209
100000	1.217
100000	1.227
100000	1.218
100000	1.207
100000	1.218
100000	1.214
100000	1.222
100000	1.206
100000	1.204
100000	1.208
100000	1.21
100000	1.205
100000	1.208
100000	1.21
100000	1.212
100000	1.213
100000	1.205
100000	1.211
100000	1.211
100000	1.219
100000	1.206
